target_date,lead_months,point_id,series_id,input_kind,scenario,model_family,model,feature_set,y_hat,dy_hat
2024-01-01,1,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,869.5331625855151,0.3891489136401052
2024-02-01,2,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,869.8347020776492,0.3015394921340859
2024-03-01,3,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,870.1718870370898,0.3371849594405988
2024-04-01,4,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,870.5102452952597,0.338358258169795
2024-05-01,5,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,870.7309817587301,0.2207364634703891
2024-06-01,6,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,871.03648500458,0.305503245849847
2024-07-01,7,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,871.2562439578179,0.2197589532379377
2024-08-01,8,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,871.3424346910548,0.0861907332369037
2024-01-01,1,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,869.380013671875,-0.306521326303482
2024-02-01,2,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,870.7016690645218,1.3216553926467896
2024-03-01,3,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,871.6758889827728,0.9742199182510376
2024-04-01,4,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,872.2006900582313,0.5248010754585266
2024-05-01,5,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,874.6422486577034,2.441558599472046
2024-06-01,6,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,875.5130105290413,0.8707618713378906
2024-07-01,7,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,877.9954235825538,2.482413053512573
2024-08-01,8,08.05.005,Aquifer__08.05.005,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,876.203850177288,-1.791573405265808
2024-01-01,1,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,869.7671900081634,0.6231763362884521
2024-02-01,2,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,870.0577760326862,0.2905860245227813
2024-03-01,3,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,871.3260216104984,1.2682455778121948
2024-04-01,4,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,873.469770847559,2.143749237060547
2024-05-01,5,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,874.259378670454,0.78960782289505
2024-06-01,6,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,874.5179238009453,0.2585451304912567
2024-07-01,7,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,873.7530859994888,-0.7648378014564514
2024-08-01,8,08.05.005,Aquifer__08.05.005,Aquifer,Desfavorable,EXOG,XGB,EXOG_LAG1_ONLY,874.3403172779083,0.5872312784194946
2024-01-01,1,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,869.7671900081634,0.6231763362884521
2024-02-01,2,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,870.0577760326862,0.2905860245227813
2024-03-01,3,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,871.3260216104984,1.2682455778121948
2024-04-01,4,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,873.469770847559,2.143749237060547
2024-05-01,5,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,874.259378670454,0.78960782289505
2024-06-01,6,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,874.5179238009453,0.2585451304912567
2024-07-01,7,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,873.7530859994888,-0.7648378014564514
2024-08-01,8,08.05.005,Aquifer__08.05.005,Aquifer,Favorable,EXOG,XGB,EXOG_LAG1_ONLY,873.1739672708511,-0.5791187286376953
2024-01-01,1,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,3.6454429682188048,0.4426547292188043
2024-02-01,2,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,3.593461408967715,-0.0519815592510899
2024-03-01,3,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.027655811660963,0.4341944026932475
2024-04-01,4,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.31291092404053,0.285255112379567
2024-05-01,5,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.5868267041276605,0.2739157800871309
