target_date,lead_months,point_id,series_id,input_kind,scenario,model_family,model,feature_set,y_hat,dy_hat
2024-01-01,1,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,869.5331625855151,0.3891489136401052
2024-02-01,2,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,869.8347020776492,0.3015394921340859
2024-03-01,3,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,870.1718870370898,0.3371849594405988
2024-04-01,4,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,870.5102452952597,0.338358258169795
2024-05-01,5,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,870.7309817587301,0.2207364634703891
2024-06-01,6,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,871.03648500458,0.305503245849847
2024-07-01,7,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,871.2562439578179,0.2197589532379377
2024-08-01,8,08.05.005,Aquifer__08.05.005,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,871.3424346910548,0.0861907332369037
2024-01-01,1,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,3.6454429682188048,0.4426547292188043
2024-02-01,2,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,3.593461408967715,-0.0519815592510899
2024-03-01,3,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.027655811660963,0.4341944026932475
2024-04-01,4,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.31291092404053,0.285255112379567
2024-05-01,5,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.5868267041276605,0.2739157800871309
2024-06-01,6,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.891449807006164,0.3046231028785034
2024-07-01,7,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.168166670548713,0.2767168635425487
2024-08-01,8,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.067033382549686,-0.1011332879990268
2024-09-01,9,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.160788980610016,0.0937555980603299
2024-10-01,10,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.320070857195018,0.1592818765850025
2024-11-01,11,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.285675365975005,-0.0343954912200127
2024-12-01,12,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.275500401852011,-0.010174964122994
2025-01-01,13,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.082056470454656,-0.1934439313973552
2025-02-01,14,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.91971155521444,-0.1623449152402157
2025-03-01,15,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.8244803747433584,-0.0952311804710816
2025-04-01,16,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.779270466412392,-0.0452099083309669
2025-05-01,17,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.779229694709444,-4.07717029476673e-05
2025-06-01,18,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.82321690257763,0.0439872078681862
2025-07-01,19,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.905542777921434,0.0823258753438042
2025-08-01,20,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.993275047203562,0.0877322692821275
2025-09-01,21,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.1014087781479605,0.1081337309443988
2025-10-01,22,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.233516398102578,0.1321076199546175
2025-11-01,23,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.372375838834045,0.1388594407314667
2025-12-01,24,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.51936997426595,0.1469941354319051
2026-01-01,25,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.420331390624767,-0.0990385836411828
2026-02-01,26,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.3361943239565965,-0.0841370666681702
2026-03-01,27,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.2710916632665485,-0.0651026606900479
2026-04-01,28,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.227476931601728,-0.0436147316648203
