input_kind,model_family,lead_months,sigma_hat,KGE_mean,NSE_mean,MAE_mean,R2_mean,KGE_y_mean,NSE_y_mean,MAE_y_mean,R2_y_mean,n_total,n_series,n_origins
Aquifer,ENDO,1,2.2400419854279607,0.999406762959848,0.9999440644555668,1.1273584024065475,0.9999440644555668,0.999406762959848,0.9999440644555668,1.1273584024065475,0.9999440644555668,1170,31,60
Aquifer,ENDO,3,3.0634107016642766,0.999587586302877,0.9998965868126286,1.9434691926536571,0.9998965868126286,0.999587586302877,0.9998965868126286,1.9434691926536571,0.9998965868126286,899,31,58
Aquifer,ENDO,6,4.0959433859181305,0.9988353434770936,0.9998166170507806,2.716111831788015,0.9998166170507806,0.9988353434770936,0.9998166170507806,2.716111831788015,0.9998166170507806,771,31,55
Aquifer,ENDO,12,5.066716783494962,0.9975026437597856,0.9997304386898006,3.4103863875567435,0.9997304386898006,0.9975026437597856,0.9997304386898006,3.4103863875567435,0.9997304386898006,455,31,49
Aquifer,ENDO,24,5.13392364097018,0.9941154235281372,0.9997083870262644,3.3379204967791463,0.9997083870262644,0.9941154235281372,0.9997083870262644,3.3379204967791463,0.9997083870262644,326,30,37
Aquifer,ENDO,36,7.751995218416342,0.992529937442473,0.999251396161654,5.233629362672168,0.999251396161654,0.992529937442473,0.999251396161654,5.233629362672168,0.999251396161654,273,27,25
Aquifer,ENDO,48,10.246905506234793,0.9837300094586204,0.998551474608152,7.322059601070737,0.998551474608152,0.9837300094586204,0.998551474608152,7.322059601070737,0.998551474608152,120,19,13
Aquifer,EXOG,1,2.3046318069618144,0.9994715607801568,0.9999407922366343,1.2497553414122509,0.9999407922366343,0.9994715607801568,0.9999407922366343,1.2497553414122509,0.9999407922366343,1170,31,60
Aquifer,EXOG,3,3.022151155380831,0.9995511879776896,0.9998993536944036,1.961225881340864,0.9998993536944036,0.9995511879776896,0.9998993536944036,1.961225881340864,0.9998993536944036,899,31,58
Aquifer,EXOG,6,3.935559934942831,0.999331635147855,0.9998306972065596,2.660974924113764,0.9998306972065596,0.999331635147855,0.9998306972065596,2.660974924113764,0.9998306972065596,771,31,55
Aquifer,EXOG,12,5.476322196430808,0.9970756637460774,0.999685093022222,3.597799380259354,0.999685093022222,0.9970756637460774,0.999685093022222,3.597799380259354,0.999685093022222,455,31,49
Aquifer,EXOG,24,6.132082072220942,0.9918354115516568,0.9995839706699248,3.824431016825165,0.9995839706699248,0.9918354115516568,0.9995839706699248,3.824431016825165,0.9995839706699248,326,30,37
Aquifer,EXOG,36,9.88849557141549,0.9878073586633812,0.9987818928175316,5.986116980653175,0.9987818928175316,0.9878073586633812,0.9987818928175316,5.986116980653175,0.9987818928175316,273,27,25
Aquifer,EXOG,48,13.112498481140763,0.9773791779402236,0.9976280171112466,8.20798497536372,0.9976280171112466,0.9773791779402236,0.9976280171112466,8.20798497536372,0.9976280171112466,120,19,13
Reservoir,ENDO,1,12.06178770908122,0.9702893892233307,0.9931763658463454,4.682958361405638,0.9931763658463454,0.9702893892233307,0.9931763658463454,4.682958361405638,0.9931763658463454,1145,24,48
Reservoir,ENDO,3,24.016917079257485,0.9589382989244843,0.9734467226854208,9.618604431668851,0.9734467226854208,0.9589382989244843,0.9734467226854208,9.618604431668851,0.9734467226854208,1087,24,46
Reservoir,ENDO,6,30.92301933838672,0.958058689178347,0.9554065016562088,12.89609823654457,0.9554065016562088,0.958058689178347,0.9554065016562088,12.89609823654457,0.9554065016562088,1003,24,43
Reservoir,ENDO,12,30.269679885637537,0.944650516435202,0.955907989997312,12.882869035763058,0.955907989997312,0.944650516435202,0.955907989997312,12.882869035763058,0.955907989997312,845,24,37
Reservoir,ENDO,24,35.55031481800743,0.9210990883262384,0.9238094747092468,13.708709145283375,0.9238094747092468,0.9210990883262384,0.9238094747092468,13.708709145283375,0.9238094747092468,560,23,25
Reservoir,ENDO,36,35.846183649053835,0.8396324467744088,0.8988608479810541,16.013284332501588,0.8988608479810541,0.8396324467744088,0.8988608479810541,16.013284332501588,0.8988608479810541,286,22,13
Reservoir,EXOG,1,12.398477563269529,0.9708113731767098,0.9927901024405332,4.604199875419148,0.9927901024405332,0.9708113731767098,0.9927901024405332,4.604199875419148,0.9927901024405332,1145,24,48
Reservoir,EXOG,3,25.38961988677457,0.959088073456706,0.9703246389277428,9.955728195945834,0.9703246389277428,0.959088073456706,0.9703246389277428,9.955728195945834,0.9703246389277428,1087,24,46
Reservoir,EXOG,6,32.998874689841706,0.9428415957469176,0.9492184421318348,13.736334773952487,0.9492184421318348,0.9428415957469176,0.9492184421318348,13.736334773952487,0.9492184421318348,1003,24,43
Reservoir,EXOG,12,30.32978478507857,0.9234706186200642,0.9557327138157032,13.332269784240609,0.9557327138157032,0.9234706186200642,0.9557327138157032,13.332269784240609,0.9557327138157032,845,24,37
Reservoir,EXOG,24,35.02350613306717,0.8826903029395219,0.9260508295796814,13.966419305320477,0.9260508295796814,0.8826903029395219,0.9260508295796814,13.966419305320477,0.9260508295796814,560,23,25
Reservoir,EXOG,36,34.78304732066402,0.787132498064664,0.904771112157358,16.576455838663172,0.904771112157358,0.787132498064664,0.904771112157358,16.576455838663172,0.904771112157358,286,22,13
River,ENDO,1,5.632048103827287,0.8609727858303726,0.7909848839090491,2.324149461649683,0.7909848839090491,0.8609727858303726,0.7909848839090491,2.324149461649683,0.7909848839090491,3348,56,60
River,ENDO,3,7.421277693979221,0.7553949184187416,0.6417285583736849,3.576128388735048,0.6417285583736849,0.7553949184187416,0.6417285583736849,3.576128388735048,0.6417285583736849,3229,56,58
River,ENDO,6,7.752223149944235,0.695562765271128,0.6117447911769185,4.111670230039581,0.6117447911769185,0.695562765271128,0.6117447911769185,4.111670230039581,0.6117447911769185,3049,56,55
River,ENDO,12,7.645786914445839,0.6400426846105298,0.6113994600267388,4.435340078390321,0.6113994600267388,0.6400426846105298,0.6113994600267388,4.435340078390321,0.6113994600267388,2692,56,49
River,ENDO,24,8.409691813036119,0.3588618086849217,0.4443152309983951,5.787037550411005,0.4443152309983951,0.3588618086849217,0.4443152309983951,5.787037550411005,0.4443152309983951,2012,56,37
River,ENDO,36,10.660726617160126,0.1181677591673421,0.1929167739156662,7.469753604992656,0.1929167739156662,0.1181677591673421,0.1929167739156662,7.469753604992656,0.1929167739156662,1355,55,25
River,ENDO,48,10.040852444569976,0.0770557660364144,0.2446830074549574,7.581922996745158,0.2446830074549574,0.0770557660364144,0.2446830074549574,7.581922996745158,0.2446830074549574,713,55,13
River,EXOG,1,5.876230293269519,0.8665088045828389,0.7724679392958539,2.4278712128385167,0.7724679392958539,0.8665088045828389,0.7724679392958539,2.4278712128385167,0.7724679392958539,3348,56,60
River,EXOG,3,7.751335161570142,0.7661687560661601,0.6091520325998826,3.5806542541268165,0.6091520325998826,0.7661687560661601,0.6091520325998826,3.5806542541268165,0.6091520325998826,3229,56,58
River,EXOG,6,8.027490533324409,0.7220468383732825,0.5836827903342439,3.993298310476825,0.5836827903342439,0.7220468383732825,0.5836827903342439,3.993298310476825,0.5836827903342439,3049,56,55
River,EXOG,12,8.140316593413836,0.6836135010585933,0.559504363258357,4.203432841405551,0.559504363258357,0.6836135010585933,0.559504363258357,4.203432841405551,0.559504363258357,2692,56,49
River,EXOG,24,8.913144829756655,0.4547019310736763,0.3757906656747311,5.278633902621527,0.3757906656747311,0.4547019310736763,0.3757906656747311,5.278633902621527,0.3757906656747311,2012,56,37
River,EXOG,36,11.152596020389176,0.2219239582476314,0.1167235518554896,6.89891685672966,0.1167235518554896,0.2219239582476314,0.1167235518554896,6.89891685672966,0.1167235518554896,1355,55,25
River,EXOG,48,10.355721753392425,0.2091261324335971,0.196568544155213,6.911922812325462,0.196568544155213,0.2091261324335971,0.196568544155213,6.911922812325462,0.196568544155213,713,55,13
